ID	Title	From	To	House	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Speaker_role	Speaker_type	Speaker_party	Speaker_party_name	Party_status	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-SI_2014-08-28-SDZ7-Izredna-02.u1	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Extraordinary Session 2, 28.8.2014	2014-08-28	2014-08-28	Lower house	7		2			Reference	Chairperson	MP	SMC	Stranka Mira Cerarja		Brglez, Milan	M	1967
ParlaMint-SI_2014-08-28-SDZ7-Izredna-02.u2	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Extraordinary Session 2, 28.8.2014	2014-08-28	2014-08-28	Lower house	7		2			Reference	Regular	MP	SMC	Stranka Mira Cerarja		Kustec Lipicer, Simona	F	1976
ParlaMint-SI_2014-08-28-SDZ7-Izredna-02.u3	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Extraordinary Session 2, 28.8.2014	2014-08-28	2014-08-28	Lower house	7		2			Reference	Chairperson	MP	SMC	Stranka Mira Cerarja		Brglez, Milan	M	1967
ParlaMint-SI_2014-08-28-SDZ7-Izredna-02.u4	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Extraordinary Session 2, 28.8.2014	2014-08-28	2014-08-28	Lower house	7		2			Reference	Regular	MP	SDS	Slovenska demokratska stranka		Tanko, Jože	M	1956
ParlaMint-SI_2014-08-28-SDZ7-Izredna-02.u5	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Extraordinary Session 2, 28.8.2014	2014-08-28	2014-08-28	Lower house	7		2			Reference	Chairperson	MP	SMC	Stranka Mira Cerarja		Brglez, Milan	M	1967
ParlaMint-SI_2014-08-28-SDZ7-Izredna-02.u6	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Extraordinary Session 2, 28.8.2014	2014-08-28	2014-08-28	Lower house	7		2			Reference	Regular	MP	SDS	Slovenska demokratska stranka		Tanko, Jože	M	1956
ParlaMint-SI_2014-08-28-SDZ7-Izredna-02.u7	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Extraordinary Session 2, 28.8.2014	2014-08-28	2014-08-28	Lower house	7		2			Reference	Chairperson	MP	SMC	Stranka Mira Cerarja		Brglez, Milan	M	1967
ParlaMint-SI_2014-08-28-SDZ7-Izredna-02.u8	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Extraordinary Session 2, 28.8.2014	2014-08-28	2014-08-28	Lower house	7		2			Reference	Regular	MP	ZaAB	Zavezništvo Alenke Bratušek		Möderndorfer, Jani	M	1965
ParlaMint-SI_2014-08-28-SDZ7-Izredna-02.u9	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Extraordinary Session 2, 28.8.2014	2014-08-28	2014-08-28	Lower house	7		2			Reference	Chairperson	MP	SMC	Stranka Mira Cerarja		Brglez, Milan	M	1967
ParlaMint-SI_2014-08-28-SDZ7-Izredna-02.u10	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Extraordinary Session 2, 28.8.2014	2014-08-28	2014-08-28	Lower house	7		2			Reference	Regular	MP	SDS	Slovenska demokratska stranka		Mahnič, Žan	M	1990
ParlaMint-SI_2014-08-28-SDZ7-Izredna-02.u11	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Extraordinary Session 2, 28.8.2014	2014-08-28	2014-08-28	Lower house	7		2			Reference	Chairperson	MP	SMC	Stranka Mira Cerarja		Brglez, Milan	M	1967
ParlaMint-SI_2014-08-28-SDZ7-Izredna-02.u12	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Extraordinary Session 2, 28.8.2014	2014-08-28	2014-08-28	Lower house	7		2			Reference	Regular	MP	ZaAB	Zavezništvo Alenke Bratušek		Möderndorfer, Jani	M	1965
ParlaMint-SI_2014-08-28-SDZ7-Izredna-02.u13	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Extraordinary Session 2, 28.8.2014	2014-08-28	2014-08-28	Lower house	7		2			Reference	Chairperson	MP	SMC	Stranka Mira Cerarja		Brglez, Milan	M	1967
ParlaMint-SI_2014-08-28-SDZ7-Izredna-02.u14	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Extraordinary Session 2, 28.8.2014	2014-08-28	2014-08-28	Lower house	7		2			Reference	Regular	MP	SDS	Slovenska demokratska stranka		Breznik, Franc	M	1970
ParlaMint-SI_2014-08-28-SDZ7-Izredna-02.u15	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Extraordinary Session 2, 28.8.2014	2014-08-28	2014-08-28	Lower house	7		2			Reference	Chairperson	MP	SMC	Stranka Mira Cerarja		Brglez, Milan	M	1967
ParlaMint-SI_2014-08-28-SDZ7-Izredna-02.u16	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Extraordinary Session 2, 28.8.2014	2014-08-28	2014-08-28	Lower house	7		2			Reference	Regular	MP	NSi	Nova Slovenija – Krščanski demokrati		Tonin, Matej	M	1983
ParlaMint-SI_2014-08-28-SDZ7-Izredna-02.u17	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Extraordinary Session 2, 28.8.2014	2014-08-28	2014-08-28	Lower house	7		2			Reference	Chairperson	MP	SMC	Stranka Mira Cerarja		Brglez, Milan	M	1967
ParlaMint-SI_2014-08-28-SDZ7-Izredna-02.u18	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Extraordinary Session 2, 28.8.2014	2014-08-28	2014-08-28	Lower house	7		2			Reference	Regular	MP	SDS	Slovenska demokratska stranka		Grims, Branko	M	1962
ParlaMint-SI_2014-08-28-SDZ7-Izredna-02.u19	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Extraordinary Session 2, 28.8.2014	2014-08-28	2014-08-28	Lower house	7		2			Reference	Chairperson	MP	SMC	Stranka Mira Cerarja		Brglez, Milan	M	1967
ParlaMint-SI_2014-08-28-SDZ7-Izredna-02.u20	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Extraordinary Session 2, 28.8.2014	2014-08-28	2014-08-28	Lower house	7		2			Reference	Regular	MP	SDS	Slovenska demokratska stranka		Gorenak, Vinko	M	1955
ParlaMint-SI_2014-08-28-SDZ7-Izredna-02.u21	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Extraordinary Session 2, 28.8.2014	2014-08-28	2014-08-28	Lower house	7		2			Reference	Chairperson	MP	SMC	Stranka Mira Cerarja		Brglez, Milan	M	1967
ParlaMint-SI_2014-08-28-SDZ7-Izredna-02.u22	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Extraordinary Session 2, 28.8.2014	2014-08-28	2014-08-28	Lower house	7		2			Reference	Regular	MP	SDS	Slovenska demokratska stranka		Logar, Anže	M	1976
ParlaMint-SI_2014-08-28-SDZ7-Izredna-02.u23	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Extraordinary Session 2, 28.8.2014	2014-08-28	2014-08-28	Lower house	7		2			Reference	Chairperson	MP	SMC	Stranka Mira Cerarja		Brglez, Milan	M	1967
ParlaMint-SI_2014-08-28-SDZ7-Izredna-02.u24	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Extraordinary Session 2, 28.8.2014	2014-08-28	2014-08-28	Lower house	7		2			Reference	Regular	MP	SDS	Slovenska demokratska stranka		Šircelj, Andrej	M	1959
ParlaMint-SI_2014-08-28-SDZ7-Izredna-02.u25	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Extraordinary Session 2, 28.8.2014	2014-08-28	2014-08-28	Lower house	7		2			Reference	Chairperson	MP	SMC	Stranka Mira Cerarja		Brglez, Milan	M	1967
ParlaMint-SI_2014-08-28-SDZ7-Izredna-02.u26	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Extraordinary Session 2, 28.8.2014	2014-08-28	2014-08-28	Lower house	7		2			Reference	Regular	MP	SDS	Slovenska demokratska stranka		Tanko, Jože	M	1956
ParlaMint-SI_2014-08-28-SDZ7-Izredna-02.u27	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Extraordinary Session 2, 28.8.2014	2014-08-28	2014-08-28	Lower house	7		2			Reference	Chairperson	MP	SMC	Stranka Mira Cerarja		Brglez, Milan	M	1967
ParlaMint-SI_2014-08-28-SDZ7-Izredna-02.u28	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Extraordinary Session 2, 28.8.2014	2014-08-28	2014-08-28	Lower house	7		2			Reference	Regular	MP	Levica	Združena levica		Trček, Franc	M	1969
ParlaMint-SI_2014-08-28-SDZ7-Izredna-02.u29	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Extraordinary Session 2, 28.8.2014	2014-08-28	2014-08-28	Lower house	7		2			Reference	Chairperson	MP	SMC	Stranka Mira Cerarja		Brglez, Milan	M	1967
ParlaMint-SI_2014-08-28-SDZ7-Izredna-02.u30	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Extraordinary Session 2, 28.8.2014	2014-08-28	2014-08-28	Lower house	7		2			Reference	Regular	MP	SDS	Slovenska demokratska stranka		Bah Žibert, Anja	F	1973
ParlaMint-SI_2014-08-28-SDZ7-Izredna-02.u31	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Extraordinary Session 2, 28.8.2014	2014-08-28	2014-08-28	Lower house	7		2			Reference	Chairperson	MP	SMC	Stranka Mira Cerarja		Brglez, Milan	M	1967
ParlaMint-SI_2014-08-28-SDZ7-Izredna-02.u32	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Extraordinary Session 2, 28.8.2014	2014-08-28	2014-08-28	Lower house	7		2			Reference	Regular	MP	Levica	Združena levica		Trček, Franc	M	1969
