ID	Title	From	To	House	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Speaker_role	Speaker_type	Speaker_party	Speaker_party_name	Party_status	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-SI_2016-06-15-SDZ7-Redna-20.u1	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Regular Session 20, 15.6.2016	2016-06-15	2016-06-15	Lower house	7		20			Reference	Chairperson	MP	SMC	Stranka modernega centra		Brglez, Milan	M	1967
ParlaMint-SI_2016-06-15-SDZ7-Redna-20.u2	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Regular Session 20, 15.6.2016	2016-06-15	2016-06-15	Lower house	7		20			Reference	Regular	MP	SDS	Slovenska demokratska stranka	Opposition	Lep Šimenko, Suzana	F	1979
ParlaMint-SI_2016-06-15-SDZ7-Redna-20.u3	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Regular Session 20, 15.6.2016	2016-06-15	2016-06-15	Lower house	7		20			Reference	Chairperson	MP	SMC	Stranka modernega centra		Brglez, Milan	M	1967
ParlaMint-SI_2016-06-15-SDZ7-Redna-20.u4	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Regular Session 20, 15.6.2016	2016-06-15	2016-06-15	Lower house	7		20			Reference	Regular	notMP				Kopač Mrak, Anja	F	-
ParlaMint-SI_2016-06-15-SDZ7-Redna-20.u5	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Regular Session 20, 15.6.2016	2016-06-15	2016-06-15	Lower house	7		20			Reference	Chairperson	MP	SMC	Stranka modernega centra		Brglez, Milan	M	1967
ParlaMint-SI_2016-06-15-SDZ7-Redna-20.u6	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Regular Session 20, 15.6.2016	2016-06-15	2016-06-15	Lower house	7		20			Reference	Regular	MP	SDS	Slovenska demokratska stranka	Opposition	Tanko, Jože	M	1956
ParlaMint-SI_2016-06-15-SDZ7-Redna-20.u7	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Regular Session 20, 15.6.2016	2016-06-15	2016-06-15	Lower house	7		20			Reference	Chairperson	MP	SMC	Stranka modernega centra		Brglez, Milan	M	1967
ParlaMint-SI_2016-06-15-SDZ7-Redna-20.u8	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Regular Session 20, 15.6.2016	2016-06-15	2016-06-15	Lower house	7		20			Reference	Regular	MP	SDS	Slovenska demokratska stranka	Opposition	Tanko, Jože	M	1956
ParlaMint-SI_2016-06-15-SDZ7-Redna-20.u9	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Regular Session 20, 15.6.2016	2016-06-15	2016-06-15	Lower house	7		20			Reference	Chairperson	MP	SMC	Stranka modernega centra		Brglez, Milan	M	1967
ParlaMint-SI_2016-06-15-SDZ7-Redna-20.u10	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Regular Session 20, 15.6.2016	2016-06-15	2016-06-15	Lower house	7		20			Reference	Regular	MP	SD	Socialni demokrati	Coalition	Han, Matjaž	M	1971
ParlaMint-SI_2016-06-15-SDZ7-Redna-20.u11	Minutes of the National Assembly of the Republic of Slovenia, Term 7, Regular Session 20, 15.6.2016	2016-06-15	2016-06-15	Lower house	7		20			Reference	Chairperson	MP	SMC	Stranka modernega centra		Brglez, Milan	M	1967
