ID	Title	From	To	House	Term	Session	Meeting	Sitting	Agenda	Subcorpus	Speaker_role	Speaker_type	Speaker_party	Speaker_party_name	Party_status	Speaker_name	Speaker_gender	Speaker_birth
ParlaMint-SI_2019-11-22-SDZ8-Redna-13.u1	Minutes of the National Assembly of the Republic of Slovenia, Term 8, Regular Session 13, 22.11.2019	2019-11-22	2019-11-22	Lower house	8		13			COVID	Chairperson	MP	SD	Socialni demokrati	Coalition	Židan, Dejan	M	1967
ParlaMint-SI_2019-11-22-SDZ8-Redna-13.u2	Minutes of the National Assembly of the Republic of Slovenia, Term 8, Regular Session 13, 22.11.2019	2019-11-22	2019-11-22	Lower house	8		13			COVID	Regular	notMP				Godina, Duška	F	-
ParlaMint-SI_2019-11-22-SDZ8-Redna-13.u3	Minutes of the National Assembly of the Republic of Slovenia, Term 8, Regular Session 13, 22.11.2019	2019-11-22	2019-11-22	Lower house	8		13			COVID	Chairperson	MP	SD	Socialni demokrati	Coalition	Židan, Dejan	M	1967
ParlaMint-SI_2019-11-22-SDZ8-Redna-13.u4	Minutes of the National Assembly of the Republic of Slovenia, Term 8, Regular Session 13, 22.11.2019	2019-11-22	2019-11-22	Lower house	8		13			COVID	Regular	MP	LMŠ	Lista Marjana Šarca	Coalition	Paulič, Edvard	M	1968
ParlaMint-SI_2019-11-22-SDZ8-Redna-13.u5	Minutes of the National Assembly of the Republic of Slovenia, Term 8, Regular Session 13, 22.11.2019	2019-11-22	2019-11-22	Lower house	8		13			COVID	Chairperson	MP	SD	Socialni demokrati	Coalition	Židan, Dejan	M	1967
ParlaMint-SI_2019-11-22-SDZ8-Redna-13.u6	Minutes of the National Assembly of the Republic of Slovenia, Term 8, Regular Session 13, 22.11.2019	2019-11-22	2019-11-22	Lower house	8		13			COVID	Regular	MP	SAB	Stranka Alenke Bratušek	Coalition	Starović, Vojko	M	1952
ParlaMint-SI_2019-11-22-SDZ8-Redna-13.u7	Minutes of the National Assembly of the Republic of Slovenia, Term 8, Regular Session 13, 22.11.2019	2019-11-22	2019-11-22	Lower house	8		13			COVID	Chairperson	MP	SD	Socialni demokrati	Coalition	Židan, Dejan	M	1967
ParlaMint-SI_2019-11-22-SDZ8-Redna-13.u8	Minutes of the National Assembly of the Republic of Slovenia, Term 8, Regular Session 13, 22.11.2019	2019-11-22	2019-11-22	Lower house	8		13			COVID	Regular	MP	DeSUS	Demokratična stranka upokojencev Slovenije	Coalition	Simonovič, Branko	M	1953
ParlaMint-SI_2019-11-22-SDZ8-Redna-13.u9	Minutes of the National Assembly of the Republic of Slovenia, Term 8, Regular Session 13, 22.11.2019	2019-11-22	2019-11-22	Lower house	8		13			COVID	Chairperson	MP	SD	Socialni demokrati	Coalition	Židan, Dejan	M	1967
ParlaMint-SI_2019-11-22-SDZ8-Redna-13.u10	Minutes of the National Assembly of the Republic of Slovenia, Term 8, Regular Session 13, 22.11.2019	2019-11-22	2019-11-22	Lower house	8		13			COVID	Regular	MP	SNS	Slovenska nacionalna stranka	Opposition	Šiško, Dušan	M	1969
ParlaMint-SI_2019-11-22-SDZ8-Redna-13.u11	Minutes of the National Assembly of the Republic of Slovenia, Term 8, Regular Session 13, 22.11.2019	2019-11-22	2019-11-22	Lower house	8		13			COVID	Chairperson	MP	SD	Socialni demokrati	Coalition	Židan, Dejan	M	1967
ParlaMint-SI_2019-11-22-SDZ8-Redna-13.u12	Minutes of the National Assembly of the Republic of Slovenia, Term 8, Regular Session 13, 22.11.2019	2019-11-22	2019-11-22	Lower house	8		13			COVID	Regular	MP	SDS	Slovenska demokratska stranka	Opposition	Rosec, Franc	M	1967
ParlaMint-SI_2019-11-22-SDZ8-Redna-13.u13	Minutes of the National Assembly of the Republic of Slovenia, Term 8, Regular Session 13, 22.11.2019	2019-11-22	2019-11-22	Lower house	8		13			COVID	Chairperson	MP	SD	Socialni demokrati	Coalition	Židan, Dejan	M	1967
ParlaMint-SI_2019-11-22-SDZ8-Redna-13.u14	Minutes of the National Assembly of the Republic of Slovenia, Term 8, Regular Session 13, 22.11.2019	2019-11-22	2019-11-22	Lower house	8		13			COVID	Regular	MP	SD	Socialni demokrati	Coalition	Knežak, Soniboj	M	1962
ParlaMint-SI_2019-11-22-SDZ8-Redna-13.u15	Minutes of the National Assembly of the Republic of Slovenia, Term 8, Regular Session 13, 22.11.2019	2019-11-22	2019-11-22	Lower house	8		13			COVID	Chairperson	MP	SD	Socialni demokrati	Coalition	Židan, Dejan	M	1967
ParlaMint-SI_2019-11-22-SDZ8-Redna-13.u16	Minutes of the National Assembly of the Republic of Slovenia, Term 8, Regular Session 13, 22.11.2019	2019-11-22	2019-11-22	Lower house	8		13			COVID	Regular	MP	SDS	Slovenska demokratska stranka	Opposition	Breznik, Franc	M	1970
ParlaMint-SI_2019-11-22-SDZ8-Redna-13.u17	Minutes of the National Assembly of the Republic of Slovenia, Term 8, Regular Session 13, 22.11.2019	2019-11-22	2019-11-22	Lower house	8		13			COVID	Chairperson	MP	SD	Socialni demokrati	Coalition	Židan, Dejan	M	1967
ParlaMint-SI_2019-11-22-SDZ8-Redna-13.u18	Minutes of the National Assembly of the Republic of Slovenia, Term 8, Regular Session 13, 22.11.2019	2019-11-22	2019-11-22	Lower house	8		13			COVID	Regular	MP	SDS	Slovenska demokratska stranka	Opposition	Černač, Zvonko	M	1962
ParlaMint-SI_2019-11-22-SDZ8-Redna-13.u19	Minutes of the National Assembly of the Republic of Slovenia, Term 8, Regular Session 13, 22.11.2019	2019-11-22	2019-11-22	Lower house	8		13			COVID	Chairperson	MP	SD	Socialni demokrati	Coalition	Židan, Dejan	M	1967
ParlaMint-SI_2019-11-22-SDZ8-Redna-13.u20	Minutes of the National Assembly of the Republic of Slovenia, Term 8, Regular Session 13, 22.11.2019	2019-11-22	2019-11-22	Lower house	8		13			COVID	Regular	notMP				Ramšak Pešec, Mojca	F	-
ParlaMint-SI_2019-11-22-SDZ8-Redna-13.u21	Minutes of the National Assembly of the Republic of Slovenia, Term 8, Regular Session 13, 22.11.2019	2019-11-22	2019-11-22	Lower house	8		13			COVID	Chairperson	MP	SD	Socialni demokrati	Coalition	Židan, Dejan	M	1967
ParlaMint-SI_2019-11-22-SDZ8-Redna-13.u22	Minutes of the National Assembly of the Republic of Slovenia, Term 8, Regular Session 13, 22.11.2019	2019-11-22	2019-11-22	Lower house	8		13			COVID	Regular	MP	DeSUS	Demokratična stranka upokojencev Slovenije	Coalition	Lep, Jurij	M	1958
ParlaMint-SI_2019-11-22-SDZ8-Redna-13.u23	Minutes of the National Assembly of the Republic of Slovenia, Term 8, Regular Session 13, 22.11.2019	2019-11-22	2019-11-22	Lower house	8		13			COVID	Chairperson	MP	SD	Socialni demokrati	Coalition	Židan, Dejan	M	1967
ParlaMint-SI_2019-11-22-SDZ8-Redna-13.u24	Minutes of the National Assembly of the Republic of Slovenia, Term 8, Regular Session 13, 22.11.2019	2019-11-22	2019-11-22	Lower house	8		13			COVID	Regular	MP	SNS	Slovenska nacionalna stranka	Opposition	Šiško, Dušan	M	1969
ParlaMint-SI_2019-11-22-SDZ8-Redna-13.u25	Minutes of the National Assembly of the Republic of Slovenia, Term 8, Regular Session 13, 22.11.2019	2019-11-22	2019-11-22	Lower house	8		13			COVID	Chairperson	MP	SD	Socialni demokrati	Coalition	Židan, Dejan	M	1967
ParlaMint-SI_2019-11-22-SDZ8-Redna-13.u26	Minutes of the National Assembly of the Republic of Slovenia, Term 8, Regular Session 13, 22.11.2019	2019-11-22	2019-11-22	Lower house	8		13			COVID	Regular	MP	SDS	Slovenska demokratska stranka	Opposition	Mahnič, Žan	M	1990
