primer se nanaša kot omenjeno na postopek ki ga je agencija za pošto in elektronske komunikacije apek vodila v primeru dodelitve radiofrekvenčnega pasu za opravljanje storitev tretje generacije mobilne telefonije umts družbi tušmobil javni poziv za pridobitev mnenj je objavila decembra 2007 tušmobilu kot edinemu ponudniku pa nato frekvenco dodelila brez javnega razpisa in brez plačila,neutral
to pa je zmotilo druge mobilne operaterje ker so menili da so uradne osebe apeka ravnale netransparentno in diskriminatorno ker so poziv zainteresirani javnosti ki je sicer zakonski predpogoj za odločitev o načinu dodelitve frekvenc objavile v nasprotju s predpisi in pričakovano prakso zato so se operaterji v začetku leta 2008 obrnili tudi na komisijo za preprečevanje korupcije ki ji predseduje drago kos,neutral
apek je v pisnem odzivu objavljenem na njegovi spletni strani zapisal da se z ugotovitvami komisije da postopek ni bil izpeljan transparentno ne strinja v načelnem mnenju je komisija namreč povzela le že znane pomisleke operaterjev ki pa jih očitno ni podrobneje preverila so pojasnili,neutral
v tušmobilu vztrajajo da je šlo za zakonite postopke,neutral
prav tako se po mnenju apeka ni mogoče strinjati s približnimi ocenami komisije da naj bi prišlo do omogočanja neupravičene koristi prejemniku frekvence v višini dveh milijonov evrov saj je ta ocena močno pretirana in ne odraža realnih trendov na trgu elektronskih komunikacij  agencija je sicer v izogib kakršnim koli očitkom o netransparentnem delovanju na svojih spletnih straneh pričela objavljati informacije o objavah javnih pozivov v uradnem listu rs,neutral
v tušmobilu so dejali da so pri prijavi na javni poziv ki je bil objavljen v uradnem listu upoštevali vse zakonsko predpisane postopke,neutral
v največjem slovenskem mobilnem operaterju mobitelu pravijo da mnenj in odločitev uradnih organov ne morejo komentirati v drugem največjem slovenskem mobilnem operaterju simobilu poudarjajo da že dalj časa opozarjajo na sporno podelitev frekvenc tušmobilu,neutral
zavod za zaposlovanje je do konca februarja prejel 348 vlog za subvencioniranje skrajšanega delovnega časa za 40034 delavcev največ v predelovalni industriji prve zahtevke za izplačilo subvencije pričakujejo v prihodnjih dneh,neutral
za največ zaposlenih 4725 od 5188 bodo dobili subvencije v gorenju,neutral
zavod je pogodbo o subvencioniranju sklenil z 41 podjetji od tega jih je 40 za šest mesecev ena pa za tri mesece pri čemer jih je 31 za 36urni 10 pa za 32urni delovni čas podjetja lahko zahtevek za izplačilo podajo do 10 marca rok za izplačilo pa je 45 dni je na današnji novinarski konferenci v ljubljani dejala generalna direktorica zavoda za zaposlovanje marija poglajen okvirno bo tem podjetjem za šest mesecev pripadlo šest milijonov evrov izplačila bodo sicer beležili mesečno,neutral
za največ zaposlenih je pogodbo podpisalo gorenje gospodinjski aparati 4752 od skupno 5188 zaposlenih in gorenje notranja oprema 948 od 977 pa tudi acroni 1547 od 1549 domel za 803 od 856 mariborska livarna maribor 751 od 788 comet 635 od 690 helios 599 od 638 in arcont 507 od 511,neutral
generalna direktorica zavoda za zaposlovanje marija poglajen foto kanal a,neutral
od prispelih vlog jih je 65 odstotkov popolnih ostale so nepopolne po besedah poglajnove je težava v dokazovanju da so podjetja delavce seznanila o skrajšanju delovnega časa za kar morajo tudi podpisati anekse k pogodbam o zaposlitvi težava je tudi v podjetjih gre predvsem za manjša kjer ni organiziranega sindikata saj mora po zakonu delodajalec ki želi subvencijo za skrajšanje delovnega časa od 36 do 32 ur z reprezentativnimi sindikati skleniti dogovor,neutral
za subvencijo so vloge podala tako mala in srednja kot velika podjetja največ prijav je z območja ljubljane 113 podjetij za okoli 6000 delavcev kranja 43 podjetij za 4800 delavcev celja 41 podjetij za 4480 delavcev in velenja 35 podjetij za 9900 delavcev,neutral
glede nadzora je poglajnova povedala da pogodba o subvencioniranju določa delodajalčeve obveznosti izvajanje teh pa bodo spremljali in sicer bodo nekatera podjetja za inšpekcijski nadzor izbrali naključno nadzor pa bodo opravljali tudi po morebitnih obvestilih o kršitvah pri tistih predvsem večjih podjetjih ki so se prijavila ne pričakujemo izkoriščanja subvencije je dejala poglajnova in izrazila prepričanje da bo zakon ohranil določeno število delovnih mest,neutral
za izvajanje zakona o delnem subvencioniranju polnega delovnega časa je v proračunu sicer namenjenih 200 milijonov evrov,neutral
na to kažejo opazna znižanja rasti izvoza blaga obsega industrijske proizvodnje predelovalnih dejavnosti vrednosti opravljenih del v gradbeništvu in realnega prihodka v trgovini na drobno v novembru in decembru,negative
direktor urada za makroekonomske analize in razvoj boštjan vasle,neutral
ob zmanjšanju povpraševanja v eu in zunaj unije je v sloveniji zaslediti predvsem krepak padec izvoza ta se je v zadnjem lanskem četrtletju na letni ravni nominalno znižal za 9 4 odstotka močno se je zmanjšala tudi investicija dejavnost je danes na novinarski konferenci v ljubljani dejal direktor urada za makroekonomske analize in razvoj umar boštjan vasle,negative
vasle ne bi bil presenečen če bi statistični urad za zadnje lansko četrtletje ugotovil negativno gospodarsko rast glede na pričakovanja in ocene so podatki ki prihajajo iz finančnega in realnega sektorja zelo slabi je dejal poudaril je da je ponoven zagon gospodarstva pričakovati v letu 2010 pri tem pa bodo pomembno vlogo igrali ukrepi na evropski ravni in ukrepi ki jih sprejema slovenska vlada in bodo uresničeni v slovenskem gospodarstvu,negative
če je še v prvih devetih mesecih lani skupni izvoz na trge eu znašal 3 6 odstotka na letni ravni se je oktobra začel zmanjševati za 4 2 odstotka novembra lani pa se je zmanjšal kar za 17 odstotkov,negative
